"csoc","cetab","cnatie","ctie","ccdetyp","ni1","nlig","cart","typligne","cu1cde","cu2cde","tcmpspe","tcom","tcrit","tpvc","cupvc","tgratuit","qte1","qte2","ccond","ccondnv1","ccondnv2","ccondnv3","cuprix","lstcucde","admstamp","cacteurpre"
"CL","01","CLT","TOTBDNSTPA","SNACK2","2","2","V0100","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","TOTBDNSTPA","SNACK2","3","3","V0101","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","TOTBDNSTPA","SNACK2","4","4","V0102","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGMOT2000","SNACK1","1","1","V0081","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGMOT2000","SNACK1","2","2","V0082","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGMOT2000","SNACK1","3","3","V0083","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGMOT2000","SNACK1","4","4","V0084","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGMOT2000","SNACK1","5","5","V0085","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGMOT2000","SNACK1","6","6","V0086","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGMOT2000","SNACK1","7","7","V0087","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGMOT2000","SNACK1","9","9","V0089","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGMOT2000","SNACK1","10","10","V0090","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGMOT2000","SNACK1","11","11","V0091","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGMOT2000","SNACK1","12","12","V0092","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGMOT2000","SNACK1","13","13","V0093","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGMOT2000","SNACK1","19","14","V0109","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGMOT2000","SNACK1","14","15","V0094","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGMOT2000","SNACK1","15","16","V0095","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGMOT2000","SNACK1","16","17","V0096","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGMOT2000","SNACK1","17","18","V0097","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGMOT2000","SNACK2","1","1","V0099","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGMOT2000","SNACK2","2","2","V0100","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGMOT2000","SNACK2","3","3","V0101","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGMOT2000","SNACK2","4","4","V0102","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGRAVBLAN","SNACK1","1","1","V0081","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGRAVBLAN","SNACK1","2","2","V0082","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGRAVBLAN","SNACK1","3","3","V0083","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGRAVBLAN","SNACK1","4","4","V0084","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGRAVBLAN","SNACK1","5","5","V0085","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGRAVBLAN","SNACK1","6","6","V0086","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGRAVBLAN","SNACK1","7","7","V0087","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGRAVBLAN","SNACK1","9","9","V0089","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGRAVBLAN","SNACK1","10","10","V0090","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGRAVBLAN","SNACK1","11","11","V0091","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGRAVBLAN","SNACK1","12","12","V0092","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGRAVBLAN","SNACK1","13","13","V0093","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGRAVBLAN","SNACK1","19","14","V0109","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGRAVBLAN","SNACK1","14","15","V0094","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGRAVBLAN","SNACK1","15","16","V0095","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGRAVBLAN","SNACK1","16","17","V0096","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGRAVBLAN","SNACK1","17","18","V0097","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGRAVBLAN","SNACK2","1","1","V0099","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGRAVBLAN","SNACK2","2","2","V0100","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGRAVBLAN","SNACK2","3","3","V0101","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGRAVBLAN","SNACK2","4","4","V0102","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGSTANDRE","SNACK1","1","1","V0081","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGSTANDRE","SNACK1","2","2","V0082","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGSTANDRE","SNACK1","3","3","V0083","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGSTANDRE","SNACK1","4","4","V0084","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGSTANDRE","SNACK1","5","5","V0085","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGSTANDRE","SNACK1","6","6","V0086","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGSTANDRE","SNACK1","7","7","V0087","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGSTANDRE","SNACK1","9","9","V0089","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGSTANDRE","SNACK1","10","10","V0090","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGSTANDRE","SNACK1","11","11","V0091","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGSTANDRE","SNACK1","12","12","V0092","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGSTANDRE","SNACK1","13","13","V0093","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGSTANDRE","SNACK1","19","14","V0109","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGSTANDRE","SNACK1","14","15","V0094","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGSTANDRE","SNACK1","15","16","V0095","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGSTANDRE","SNACK1","16","17","V0096","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGSTANDRE","SNACK1","17","18","V0097","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGSTANDRE","SNACK2","1","1","V0099","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGSTANDRE","SNACK2","2","2","V0100","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGSTANDRE","SNACK2","3","3","V0101","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGSTANDRE","SNACK2","4","4","V0102","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","TOTBLVDSUD","SNACK1","1","1","V0081","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","TOTBLVDSUD","SNACK1","2","2","V0082","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","TOTBLVDSUD","SNACK1","3","3","V0083","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","TOTBLVDSUD","SNACK1","4","4","V0084","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","TOTBLVDSUD","SNACK1","5","5","V0085","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","TOTBLVDSUD","SNACK1","6","6","V0086","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","TOTBLVDSUD","SNACK1","7","7","V0087","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","TOTBLVDSUD","SNACK1","9","9","V0089","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","TOTBLVDSUD","SNACK1","10","10","V0090","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","TOTBLVDSUD","SNACK1","11","11","V0091","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","TOTBLVDSUD","SNACK1","12","12","V0092","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","TOTBLVDSUD","SNACK1","13","13","V0093","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","TOTBLVDSUD","SNACK1","19","14","V0109","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","TOTBLVDSUD","SNACK1","14","15","V0094","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","TOTBLVDSUD","SNACK1","15","16","V0095","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","TOTBLVDSUD","SNACK1","16","17","V0096","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","TOTBLVDSUD","SNACK1","17","18","V0097","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","TOTBLVDSUD","SNACK2","1","1","V0099","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","TOTBLVDSUD","SNACK2","2","2","V0100","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","TOTBLVDSUD","SNACK2","3","3","V0101","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","TOTBLVDSUD","SNACK2","4","4","V0102","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","TOTBOISDOL","SNACK1","1","1","V0081","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","TOTBOISDOL","SNACK1","2","2","V0082","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","TOTBOISDOL","SNACK1","3","3","V0083","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","TOTBOISDOL","SNACK1","4","4","V0084","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","TOTBOISDOL","SNACK1","5","5","V0085","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","TOTBOISDOL","SNACK1","6","6","V0086","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","TOTBOISDOL","SNACK1","7","7","V0087","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","TOTBOISDOL","SNACK1","9","9","V0089","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","TOTBOISDOL","SNACK1","10","10","V0090","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","TOTBOISDOL","SNACK1","11","11","V0091","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","TOTBOISDOL","SNACK1","12","12","V0092","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
